time/ms;on
744791;1
745247;0
745615;1
746645;0
747190;1
748255;0
748778;1
749781;0
750952;1
751995;0
753135;1
753437;0
753876;1
754779;0
755622;1
755727;0
756734;1
756962;0
757796;1
758165;0
758409;1
758895;0
759881;1
760769;0
760959;1
761971;0
762209;1
762433;0
763033;1
764129;0
765255;1
766305;0
767216;1
767806;0
768336;1
768984;0
769601;1
769712;0
770035;1
770937;0
771756;1
771904;0
772674;1
773501;0
774375;1
774486;0
775577;1
776020;0
776995;1
778001;0
778729;1
778882;0
779825;1
781017;0
782028;1
782211;0
783012;1
784141;0
784276;1
785194;0
786072;1
786357;0
786747;1
787349;0
787952;1
788571;0
789602;1
790582;0
791534;1
791707;0
792735;1
793232;0
793781;1
794058;0
795038;1
795348;0
796301;1
796816;0
797159;1
797366;0
798540;1
799408;0
799540;1
800712;0
800857;1
801735;0
802856;1
803634;0
804666;1
805842;0
807031;1
807789;0
808974;1
809559;0
809826;1
809989;0
810834;1
811442;0
812064;1
813069;0
813877;1
814490;0
815541;1
815979;0
817092;1
817508;0
818288;1
819154;0
819831;1
820296;0
820891;1
821903;0
822153;1
823332;0
824431;1
824700;0
825062;1
826080;0
826187;1
826306;0
826997;1
827156;0
827918;1
828632;0
828798;1
829698;0
830020;1
830555;0
831184;1
831631;0
831809;1
832518;0
833587;1
833898;0
835063;1
835819;0
835971;1
836258;0
836542;1
837152;0
837651;1
837881;0
838495;1
839480;0
839950;1
840556;0
840856;1
841233;0
841571;1
842752;0
842903;1
843465;0
844619;1
845473;0
845604;1
845935;0
846305;1
846573;0
846757;1
847365;0
847494;1
847816;0
848495;1
848953;0
850038;1
850585;0
850817;1
851050;0
851535;1
852686;0
853399;1
853704;0
854029;1
855144;0
855675;1
856815;0
857195;1
857717;0
858862;1
859115;0
859849;1
860788;0
861908;1
862651;0
863834;1
864430;0
865322;1
866109;0
866748;1
866932;0
867731;1
868552;0
869433;1
870330;0
870697;1
871093;0
872172;1
873344;0
874480;1
875375;0
875718;1
876538;0
877445;1
878087;0
878863;1
879702;0
880374;1
880912;0
881041;1
882176;0
883185;1
884329;0
885262;1
886158;0
886902;1
887813;0
888075;1
888862;0
889441;1
889927;0
890838;1
891900;0
892654;1
893029;0
893229;1
893385;0
894078;1
894697;0
895031;1
896065;0
897063;1
897938;0
898249;1
898748;0
899097;1
899220;0
899750;1
900215;0
900415;1
900615;0
900815;1
901015;0
901215;1
901415;0
901615;1
901815;0
905015;1
905983;0
907032;1
907332;0
908458;1
909463;0
909866;1
910280;0
910774;1
911320;0
911975;1
912195;0
912853;1
913527;0
914617;1
914772;0
915946;1
916813;0
917759;1
918358;0
918763;1
919656;0
920006;1
920676;0
921628;1
922198;0
922963;1
923112;0
923642;1
924181;0
924999;1
925447;0
925788;1
926035;0
926240;1
926973;0
927764;1
927878;0
928269;1
929292;0
930478;1
930730;0
931484;1
931851;0
933032;1
933701;0
934771;1
935358;0
935626;1
936420;0
936795;1
936916;0
937759;1
938521;0
939580;1
940630;0
941475;1
942660;0
943034;1
943998;0
945106;1
946159;0
946636;1
947260;0
948168;1
948711;0
949444;1
950306;0
950615;1
950897;0
951918;1
952074;0
952935;1
953941;0
954231;1
954845;0
955671;1
956302;0
956690;1
957631;0
958163;1
958551;0
959506;1
960641;0
961478;1
961699;0
962306;1
962610;0
963716;1
964649;0
965761;1
966548;0
966731;1
967567;0
968148;1
969001;0
969123;1
969801;0
970203;1
970915;0
971451;1
972535;0
973567;1
974676;0
975681;1
976198;0
976406;1
977575;0
978039;1
978449;0
979504;1
979822;0
980627;1
981630;0
982552;1
983718;0
984142;1
984391;0
985141;1
985867;0
986817;1
987106;0
987526;1
988533;0
989521;1
990102;0
991166;1
992161;0
992551;1
993185;0
993513;1
994628;0
995585;1
995794;0
996915;1
997342;0
997467;1
997590;0
998076;1
998954;0
999528;1
1000363;0
1001550;1
1001948;0
1002476;1
1003198;0
1003578;1
1004525;0
1004677;1
1005307;0
1006299;1
1007350;0
1008428;1
1008665;0
1009470;1
1009851;0
1010651;1
1011550;0
1011825;1
1012167;0
1013114;1
1013728;0
1013876;1
1014737;0
1015793;1
1016780;0
1017165;1
1017869;0
1018149;1
1018605;0
1018859;1
1019375;0
1020166;1
1020933;0
1021058;1
1021481;0
1022502;1
1022903;0
1023190;1
1024207;0
1024479;1
