time/ms;on
836005;1
836292;0
836576;1
837187;0
837685;1
837915;0
838529;1
839515;0
839984;1
840590;0
840891;1
841267;0
841605;1
842786;0
842937;1
843499;0
844654;1
845507;0
845638;1
845969;0
846339;1
846607;0
846791;1
847399;0
847528;1
847851;0
848529;1
848987;0
850072;1
850619;0
850851;1
851084;0
851569;1
852719;0
853433;1
853738;0
854063;1
855178;0
855709;1
856849;0
857229;1
857751;0
858895;1
859149;0
859883;1
860822;0
861942;1
862685;0
863868;1
864464;0
865356;1
866143;0
866782;1
866966;0
867765;1
868586;0
869467;1
870364;0
870731;1
871127;0
872206;1
873378;0
874515;1
875409;0
875752;1
876572;0
877479;1
878121;0
878897;1
879735;0
880407;1
880946;0
881075;1
882210;0
883219;1
884363;0
885296;1
886192;0
886936;1
887847;0
888110;1
888896;0
889475;1
889961;0
890872;1
891934;0
892688;1
893063;0
893263;1
893419;0
894112;1
894731;0
895065;1
896099;0
897097;1
897972;0
898283;1
898782;0
899131;1
899254;0
899784;1
900262;0
900462;1
900662;0
900862;1
901062;0
901262;1
901462;0
901662;1
901862;0
905062;1
906030;0
907079;1
907379;0
908505;1
909510;0
909913;1
910327;0
910821;1
911367;0
912022;1
912242;0
912900;1
913574;0
914664;1
914819;0
915993;1
916860;0
917806;1
918405;0
918810;1
919703;0
920053;1
920723;0
921675;1
922246;0
923010;1
923159;0
923689;1
924228;0
925046;1
925494;0
925835;1
926081;0
926287;1
927020;0
927811;1
927924;0
928316;1
929339;0
930525;1
930777;0
931531;1
931898;0
933079;1
933748;0
934818;1
935405;0
935673;1
936467;0
936842;1
936963;0
937806;1
938568;0
939627;1
940677;0
941522;1
942707;0
943081;1
944045;0
945153;1
946206;0
946683;1
947307;0
948215;1
948758;0
949491;1
950353;0
950662;1
950944;0
951965;1
952121;0
952982;1
953988;0
954278;1
954892;0
955718;1
956349;0
956737;1
957678;0
958211;1
958598;0
959553;1
960688;0
961525;1
961746;0
962353;1
962657;0
963763;1
964696;0
965808;1
966595;0
966777;1
967614;0
968195;1
969048;0
969170;1
969848;0
970251;1
970962;0
971498;1
972582;0
973614;1
974723;0
975728;1
976245;0
976453;1
977622;0
978086;1
978496;0
979551;1
979869;0
980674;1
981677;0
982599;1
983765;0
984189;1
984438;0
985188;1
985913;0
986864;1
987153;0
987573;1
988580;0
989568;1
990150;0
991213;1
992208;0
992598;1
993232;0
993560;1
994675;0
995632;1
995841;0
996962;1
997389;0
997513;1
997637;0
998123;1
999001;0
999575;1
1000410;0
1001597;1
1001995;0
1002523;1
1003245;0
1003625;1
1004572;0
1004724;1
1005354;0
1006346;1
1007397;0
1008475;1
1008712;0
1009517;1
1009898;0
1010698;1
1011597;0
1011872;1
1012214;0
1013161;1
1013775;0
1013923;1
1014784;0
1015840;1
1016827;0
1017212;1
1017916;0
1018196;1
1018652;0
1018905;1
1019422;0
1020213;1
1020980;0
1021105;1
1021528;0
1022548;1
